ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
12740	2.57e-07	5.71e-12	7.4602592	16.41936	4.59e-01	DUSP8	dual specificity phosphatase 8
10683	3.47e-07	1.63e-11	7.2711039	15.45184	5.27e-01	AMPD2	adenosine monophosphate deaminase 2
35986	3.47e-07	3.33e-11	-7.1415423	14.7957	-5.52e-01	ADRB2	adrenoceptor beta 2
34180	3.47e-07	3.38e-11	-7.138762	14.78168	-5.34e-01	ADRB2	adrenoceptor beta 2
34126	3.47e-07	4.66e-11	-7.0801049	14.48651	-5.35e-01	ADRB2	adrenoceptor beta 2
8425	3.47e-07	6.57e-11	-7.0171592	14.17106	-5.27e-01	ADRB2	adrenoceptor beta 2
15759	3.47e-07	7.50e-11	6.9928608	14.04965	3.70e-01	SH3TC1	SH3 domain and tetratricopeptide repeats 1
41667	3.47e-07	7.84e-11	-6.9846902	14.00888	-5.15e-01	ADRB2	adrenoceptor beta 2
20872	3.47e-07	8.08e-11	6.9790975	13.98098	2.59e-01	SLC25A28	solute carrier family 25 member 28
5358	3.47e-07	8.42e-11	-6.9715033	13.94311	-5.21e-01	ADRB2	adrenoceptor beta 2
28702	3.47e-07	8.48e-11	6.9701943	13.93659	3.98e-01	TMEM88	transmembrane protein 88
29593	4.43e-07	1.18e-10	-6.9087031	13.63077	-5.22e-01	ADRB2	adrenoceptor beta 2
41783	6.45e-07	1.86e-10	6.8241803	13.21262	3.71e-01	DUSP8	dual specificity phosphatase 8
154	1.08e-06	3.47e-10	-6.7072096	12.63829	-5.05e-01	ADRB2	adrenoceptor beta 2
5058	1.08e-06	3.59e-10	6.7010133	12.60801	4.89e-01	USP36	ubiquitin specific peptidase 36
9039	2.16e-06	7.69e-10	-6.5567907	11.90739	-4.96e-01	ADRB2	adrenoceptor beta 2
39031	2.50e-06	9.43e-10	6.5179123	11.71992	8.01e-01		
23947	2.96e-06	1.18e-09	-6.4741977	11.50985	-5.09e-01	ADRB2	adrenoceptor beta 2
5574	1.53e-05	6.44e-09	6.1449353	9.95318	3.53e-01	USP36	ubiquitin specific peptidase 36
19868	2.76e-05	1.23e-08	6.0167324	9.35983	5.79e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
25612	3.46e-05	1.67e-08	5.9557536	9.08023	3.63e-01	LPCAT1	lysophosphatidylcholine acyltransferase 1
5514	3.46e-05	1.69e-08	5.9525269	9.06548	3.56e-01	STX4	syntaxin 4
6119	4.07e-05	2.08e-08	5.9110566	8.87638	3.50e-01	ARID3B	AT-rich interaction domain 3B
7565	4.18e-05	2.23e-08	5.8969031	8.81202	4.62e-01		
18461	4.36e-05	2.42e-08	5.8802744	8.73653	2.04e-01	ARV1	ARV1 homolog, fatty acid homeostasis modulator
13393	4.50e-05	2.60e-08	5.8661468	8.6725	4.21e-01	SPACA6	sperm acrosome associated 6
3235	4.67e-05	2.80e-08	5.8505617	8.60197	1.39		
20933	5.75e-05	3.58e-08	5.8008823	8.37793	5.24e-01	CASP9	caspase 9
8824	6.06e-05	3.90e-08	5.7832153	8.29854	5.22e-01		
4533	8.13e-05	5.45e-08	5.71466	7.99192	4.15e-01	JOSD1	Josephin domain containing 1
13742	8.13e-05	5.60e-08	5.7090591	7.96697	3.39e-01		
36499	9.54e-05	6.78e-08	5.6695915	7.7916	4.81e-01	LOC100129397	uncharacterized LOC100129397
37977	1.03e-04	7.55e-08	5.6473708	7.69321	5.32e-01	RAB7B	RAB7B, member RAS oncogene family
23349	1.03e-04	7.81e-08	5.6404614	7.66267	6.00e-01		
30146	1.03e-04	8.19e-08	5.6306022	7.61912	3.98e-01	APBB3	amyloid beta precursor protein binding family B member 3
11129	1.03e-04	8.25e-08	5.6289347	7.61176	4.93e-01	CASP9	caspase 9
4385	1.19e-04	9.74e-08	5.594408	7.45969	3.21e-01		
16777	1.20e-04	1.01e-07	5.5862923	7.42403	2.49e-01	LMBR1L	limb development membrane protein 1 like
18422	1.43e-04	1.24e-07	5.5442247	7.23973	2.62e-01		
7783	1.45e-04	1.32e-07	5.5303797	7.17927	3.68e-01	RXRA	retinoid X receptor alpha
13894	1.45e-04	1.34e-07	5.5276362	7.1673	7.88e-01	IFRD1	interferon related developmental regulator 1
1090	1.45e-04	1.35e-07	5.5262275	7.16116	8.89e-01	ZNF331	zinc finger protein 331
18941	1.48e-04	1.41e-07	5.5166822	7.11956	2.34e-01	ARRDC2	arrestin domain containing 2
23026	1.57e-04	1.53e-07	5.499162	7.04332	3.01e-01		
26703	1.57e-04	1.57e-07	5.4941674	7.02161	2.45e-01	SWAP70	SWAP switching B-cell complex 70kDa subunit
17936	1.92e-04	1.96e-07	5.446919	6.81692	3.40e-01	KAT2A	lysine acetyltransferase 2A
18127	1.96e-04	2.05e-07	5.4378033	6.77756	6.29e-01		
23638	2.04e-04	2.17e-07	5.4255639	6.72479	2.58e-01	ADAMTSL4	ADAMTS like 4
24773	2.19e-04	2.39e-07	5.4056937	6.63927	4.85e-01		
30221	2.55e-04	2.84e-07	-5.368768	6.48092	-4.13e-01	CDC42EP3	CDC42 effector protein 3
25836	2.55e-04	2.89e-07	5.3647479	6.46372	2.99e-01	ERICH1	glutamate rich 1
16253	2.65e-04	3.06e-07	-5.352144	6.40986	-3.93e-01	CDC42EP3	CDC42 effector protein 3
35775	2.74e-04	3.22e-07	5.3413039	6.36361	2.42e-01		
17913	3.08e-04	3.71e-07	5.31091	6.23426	2.81e-01	LYSMD4	LysM domain containing 4
11195	3.08e-04	3.76e-07	5.3082387	6.22291	5.20e-01		
38404	3.24e-04	4.04e-07	5.2929563	6.15808	3.86e-01	LSMEM1	leucine rich single-pass membrane protein 1
43115	3.27e-04	4.14e-07	5.2873689	6.13441	3.18e-01		
13575	3.30e-04	4.36e-07	5.2761301	6.08685	3.39e-01		
1989	3.30e-04	4.40e-07	5.2743644	6.07939	4.30e-01	SESN2	sestrin 2
33971	3.30e-04	4.40e-07	5.2743352	6.07926	7.48e-01	IFRD1	interferon related developmental regulator 1
41945	3.64e-04	4.94e-07	5.2492957	5.97357	3.40e-01		
11242	4.14e-04	5.70e-07	5.2182622	5.84305	4.86e-01	ZBTB1	zinc finger and BTB domain containing 1
37798	4.42e-04	6.19e-07	5.2000263	5.7666	3.67e-01		
13487	5.58e-04	7.93e-07	5.1458048	5.54038	3.64e-01	PHF20	PHD finger protein 20
43679	5.93e-04	8.56e-07	5.1291455	5.47121	2.00e-01	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
27143	6.29e-04	9.22e-07	5.1126923	5.40304	1.87e-01	ZNF586	zinc finger protein 586
28212	6.66e-04	9.91e-07	5.0966383	5.33667	2.81e-01	TGIF1	TGFB induced factor homeobox 1
39037	6.81e-04	1.03e-06	5.0885572	5.30332	2.94e-01	MYO15B	myosin XVB
24286	6.86e-04	1.05e-06	5.0837406	5.28346	8.25e-01		
22643	6.91e-04	1.09e-06	5.0751179	5.24793	5.95e-01		
31209	6.91e-04	1.10e-06	5.0728259	5.2385	2.15e-01		
20428	6.91e-04	1.10e-06	5.0726673	5.23785	1.82e-01	GRIPAP1	GRIP1 associated protein 1
22423	6.96e-04	1.13e-06	5.0676955	5.21739	3.80e-01		
4193	6.96e-04	1.16e-06	5.0621384	5.19454	2.04e-01	TNFRSF10B	TNF receptor superfamily member 10b
3116	6.96e-04	1.16e-06	5.0620527	5.19419	8.36e-01	ZNF331	zinc finger protein 331
16934	7.30e-04	1.23e-06	5.0485129	5.13859	3.69e-01	CD83	CD83 molecule
30515	7.30e-04	1.25e-06	-5.0454456	5.12601	-4.99e-01	KCNJ2	potassium voltage-gated channel subfamily J member 2
29568	7.80e-04	1.36e-06	5.0266195	5.04892	3.47e-01	SCO2	SCO2 cytochrome c oxidase assembly protein
19842	7.80e-04	1.37e-06	5.024917	5.04196	5.59e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
