ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
22578	0.0000182	5.25e-10	-6.81	12.3070043	-3.79e-01		
20428	0.0000182	1.22e-09	-6.63	11.5322354	-2.31e-01	GRIPAP1	GRIP1 associated protein 1
39037	0.0000182	1.59e-09	-6.58	11.2858799	-3.63e-01	MYO15B	myosin XVB
13393	0.0000182	2.09e-09	-6.52	11.0342755	-4.77e-01	SPACA6	sperm acrosome associated 6
13742	0.0000182	2.17e-09	-6.52	11.0005431	-4.02e-01		
18941	0.0000182	2.43e-09	-6.49	10.8949083	-2.75e-01	ARRDC2	arrestin domain containing 2
20872	0.000021	3.27e-09	-6.43	10.6234337	-2.56e-01	SLC25A28	solute carrier family 25 member 28
28702	0.0000425	7.65e-09	-6.25	9.8396485	-3.92e-01	TMEM88	transmembrane protein 88
18422	0.0000425	8.50e-09	-6.23	9.7421816	-3.01e-01		
15759	0.0000466	1.13e-08	-6.17	9.4823047	-3.56e-01	SH3TC1	SH3 domain and tetratricopeptide repeats 1
30146	0.0000466	1.14e-08	-6.17	9.4727242	-4.49e-01	APBB3	amyloid beta precursor protein binding family B member 3
23638	0.0000552	1.47e-08	-6.11	9.2381543	-2.82e-01	ADAMTSL4	ADAMTS like 4
18461	0.0000621	1.79e-08	-6.07	9.055214	-2.24e-01	ARV1	ARV1 homolog, fatty acid homeostasis modulator
43622	0.0000659	2.05e-08	-6.04	8.9327064	-3.05e-01	NPFF	neuropeptide FF-amide peptide precursor
10683	0.0000709	2.36e-08	-6.01	8.8024124	-4.36e-01	AMPD2	adenosine monophosphate deaminase 2
17936	0.000079	2.95e-08	-5.96	8.5983463	-4.01e-01	KAT2A	lysine acetyltransferase 2A
36157	0.000079	3.10e-08	-5.95	8.5518176	-2.77e-01		
12740	0.000079	3.16e-08	-5.95	8.5342229	-3.74e-01	DUSP8	dual specificity phosphatase 8
17458	0.0001024	4.32e-08	-5.88	8.2459972	-5.42e-01		
13033	0.0001055	4.69e-08	-5.86	8.1714158	-2.22e-01	SPG7	SPG7, paraplegin matrix AAA peptidase subunit
33315	0.0001108	5.17e-08	5.84	8.0814332	1.17		
15685	0.0001185	5.79e-08	-5.82	7.9770214	-2.78e-01	LOC100505771	uncharacterized LOC100505771
17790	0.0001477	7.54e-08	-5.76	7.7337485	-2.11e-01	HKR1	HKR1, GLI-Kruppel zinc finger family member
11796	0.0001779	9.72e-08	-5.70	7.5008531	-3.27e-01	RCN3	reticulocalbin 3
25271	0.0001779	1.01e-07	-5.70	7.4694934	-3.14e-01	AMT	aminomethyltransferase
34180	0.0001779	1.05e-07	5.69	7.4317554	4.29e-01	ADRB2	adrenoceptor beta 2
36394	0.0001779	1.07e-07	-5.68	7.4149198	-2.90e-01	ZNF692	zinc finger protein 692
14425	0.0001819	1.13e-07	-5.67	7.3613819	-2.21e-01	ZNF335	zinc finger protein 335
7783	0.0001832	1.18e-07	-5.66	7.3200491	-3.78e-01	RXRA	retinoid X receptor alpha
30908	0.0001832	1.22e-07	-5.65	7.2911263	-2.55e-01	TYK2	tyrosine kinase 2
13406	0.0001994	1.38e-07	-5.63	7.1812847	-5.67e-01	LINC01000	long intergenic non-protein coding RNA 1000
28196	0.0001994	1.42e-07	-5.62	7.1542046	-2.79e-01	CCDC130	coiled-coil domain containing 130
22643	0.0002003	1.47e-07	-5.61	7.1218799	-6.57e-01		
22916	0.0002111	1.62e-07	-5.59	7.029572	-3.00e-01	CDK5RAP3	CDK5 regulatory subunit associated protein 3
21033	0.0002111	1.65e-07	-5.59	7.0171627	-2.28e-01	FAM160A2	family with sequence similarity 160 member A2
34126	0.0002111	1.69e-07	5.58	6.9934376	4.17e-01	ADRB2	adrenoceptor beta 2
41372	0.0002115	1.74e-07	-5.58	6.9665722	-5.32e-01	LINC01089	long intergenic non-protein coding RNA 1089
40268	0.000213	1.83e-07	-5.56	6.9200738	-4.68e-01		
16777	0.000213	1.88e-07	-5.56	6.8941244	-2.54e-01	LMBR1L	limb development membrane protein 1 like
36233	0.000213	1.97e-07	-5.55	6.8523994	-2.35e-01	SLC25A35	solute carrier family 25 member 35
41667	0.000213	1.97e-07	5.55	6.8514481	4.17e-01	ADRB2	adrenoceptor beta 2
22967	0.000213	1.99e-07	-5.55	6.8435912	-2.43e-01	TUBGCP6	tubulin gamma complex associated protein 6
35986	0.0002194	2.10e-07	5.53	6.794822	4.48e-01	ADRB2	adrenoceptor beta 2
26502	0.0002251	2.20e-07	-5.52	6.7503768	-2.26e-01	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10
41945	0.0002412	2.41e-07	-5.50	6.6660232	-3.80e-01		
39732	0.0002514	2.57e-07	-5.49	6.6080628	-2.20e-01	COX4I1	cytochrome c oxidase subunit 4I1
8824	0.0002545	2.74e-07	-5.47	6.5481459	-5.31e-01		
5358	0.0002545	2.76e-07	5.47	6.541586	4.22e-01	ADRB2	adrenoceptor beta 2
15939	0.0002545	2.79e-07	-5.47	6.5322749	-3.08e-01	SNORA70	small nucleolar RNA, H/ACA box 70
21196	0.0002545	2.83e-07	-5.47	6.5201531	-5.43e-01	LINC01000	long intergenic non-protein coding RNA 1000
15453	0.000275	3.12e-07	-5.45	6.4308259	-2.64e-01	ARRDC2	arrestin domain containing 2
3115	0.0002904	3.35e-07	-5.43	6.3630497	-3.62e-01	NPFF	neuropeptide FF-amide peptide precursor
24944	0.0003121	3.67e-07	-5.41	6.2793114	-2.37e-01	PTOV1-AS2	PTOV1 antisense RNA 2
23704	0.0003217	3.91e-07	-5.39	6.2213383	-3.25e-01	ASMTL-AS1	ASMTL antisense RNA 1
8425	0.0003217	3.93e-07	5.39	6.2174931	4.10e-01	ADRB2	adrenoceptor beta 2
29593	0.0003393	4.22e-07	5.38	6.1520042	4.05e-01	ADRB2	adrenoceptor beta 2
35730	0.0003412	4.37e-07	-5.37	6.1206452	-2.43e-01	KIFC2	kinesin family member C2
14646	0.0003412	4.40e-07	-5.37	6.1147995	-2.69e-01	BRICD5	BRICHOS domain containing 5
5514	0.0003613	4.76e-07	-5.35	6.0414827	-3.32e-01	STX4	syntaxin 4
20609	0.0003613	4.82e-07	-5.35	6.0312785	-4.52e-01	CIRBP	cold inducible RNA binding protein
34575	0.0003769	5.11e-07	-5.33	5.9772574	-2.70e-01		
5058	0.0003894	5.38e-07	-5.32	5.9291628	-4.00e-01	USP36	ubiquitin specific peptidase 36
29923	0.0003894	5.45e-07	-5.32	5.91761	-2.27e-01		
18778	0.00039	5.54e-07	-5.31	5.9018028	-2.81e-01		
14264	0.0004054	5.85e-07	-5.30	5.8520889	-2.43e-01		
