ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
3235	4.57e-11	1.02e-15	9.90	24.63029	2.33		
35986	4.62e-10	2.46e-14	-9.21	21.69461	-7.23e-01	ADRB2	adrenoceptor beta 2
8425	4.62e-10	3.08e-14	-9.16	21.48699	-7.17e-01	ADRB2	adrenoceptor beta 2
29593	5.52e-10	4.90e-14	-9.06	21.05695	-7.13e-01	ADRB2	adrenoceptor beta 2
34126	5.88e-10	6.53e-14	-8.99	20.79251	-7.27e-01	ADRB2	adrenoceptor beta 2
34180	7.57e-10	1.01e-13	-8.90	20.3901	-7.07e-01	ADRB2	adrenoceptor beta 2
5358	9.10e-10	1.42e-13	-8.83	20.07657	-6.83e-01	ADRB2	adrenoceptor beta 2
41667	1.11e-09	1.98e-13	-8.75	19.76797	-6.75e-01	ADRB2	adrenoceptor beta 2
1090	1.19e-09	2.39e-13	8.71	19.59275	1.43	ZNF331	zinc finger protein 331
154	1.30e-09	2.89e-13	-8.67	19.41705	-6.77e-01	ADRB2	adrenoceptor beta 2
10683	1.53e-09	3.73e-13	8.62	19.17961	6.76e-01	AMPD2	adenosine monophosphate deaminase 2
23947	1.61e-09	4.41e-13	-8.58	19.02556	-7.16e-01	ADRB2	adrenoceptor beta 2
9039	1.61e-09	4.65e-13	-8.57	18.97556	-6.84e-01	ADRB2	adrenoceptor beta 2
20933	4.48e-09	1.44e-12	8.32	17.92488	7.18e-01	CASP9	caspase 9
16934	4.48e-09	1.49e-12	8.32	17.89375	6.19e-01	CD83	CD83 molecule
12740	8.38e-09	2.98e-12	8.17	17.25303	5.99e-01	DUSP8	dual specificity phosphatase 8
37977	9.39e-09	3.54e-12	8.13	17.09174	8.13e-01	RAB7B	RAB7B, member RAS oncogene family
25085	1.26e-08	5.27e-12	8.04	16.72307	6.58e-01	ID3	inhibitor of DNA binding 3, HLH protein
3116	1.26e-08	5.33e-12	8.04	16.71235	1.37	ZNF331	zinc finger protein 331
2652	1.46e-08	6.50e-12	8.00	16.52879	1.42	CREM	cAMP responsive element modulator
18777	1.72e-08	8.37e-12	7.94	16.29324	7.49e-01	BTG3	BTG anti-proliferation factor 3
4533	1.72e-08	8.38e-12	7.94	16.29236	5.90e-01	JOSD1	Josephin domain containing 1
41783	2.19e-08	1.12e-11	7.88	16.02563	5.02e-01	DUSP8	dual specificity phosphatase 8
