ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1713542	0.00247	1.45e-07	5.859387	7.13327	0.4152048	539847842	TRIM14	tripartite motif containing 14
ILMN_1671893	0.00247	3.33e-07	-5.650155	6.37485	-0.3818169	571026644	CHMP2A	charged multivesicular body protein 2A
ILMN_1690085	0.00247	3.67e-07	5.626207	6.28859	0.4879488	806638627	STK11IP	serine/threonine kinase 11 interacting protein
ILMN_1727041	0.00247	5.69e-07	5.514835	5.88897	0.3007534	253970497	EWSR1	EWS RNA binding protein 1
ILMN_1689007	0.00247	6.17e-07	5.494401	5.81594	0.4649728	1012443717	SUGP2	SURP and G-patch domain containing 2
ILMN_1659786	0.00247	6.69e-07	5.473984	5.74307	0.3404836	226493202	TRMT13	tRNA methyltransferase 13 homolog
ILMN_1801584	0.00247	7.78e-07	-5.435495	5.60594	-1.3206601	56790928	CXCR4	C-X-C motif chemokine receptor 4
ILMN_1759411	0.00323	1.22e-06	5.321024	5.20018	0.4012863	312434027	BRICD5	BRICHOS domain containing 5
ILMN_1738362	0.00323	1.33e-06	5.299038	5.1226	0.1631133	525459425	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase
ILMN_1668752	0.00323	1.46e-06	5.274756	5.03708	0.2805111	NA		
ILMN_1792597	0.00338	1.67e-06	5.238758	4.91055	0.5713239	13377003	CRYGS	crystallin gamma S
ILMN_1761147	0.00368	1.99e-06	-5.193851	4.75319	-0.3194734	194473703	GABPB1	GA binding protein transcription factor beta subunit 1
ILMN_1727558	0.00416	2.56e-06	5.128856	4.52638	0.2425813	NA		
ILMN_1658160	0.00416	2.73e-06	5.111513	4.46606	0.7142573	335334965	FAM156A	family with sequence similarity 156 member A
ILMN_1707464	0.00416	2.81e-06	5.104381	4.44128	0.461971	205277382	MST1	macrophage stimulating 1
ILMN_1813386	0.00452	3.37e-06	5.056562	4.27548	0.5967494	255982619	CORO6	coronin 6
ILMN_1810225	0.00452	3.82e-06	5.023997	4.16294	0.5695596	962608397	UVSSA	UV stimulated scaffold protein A
ILMN_1732516	0.00452	4.04e-06	5.00931	4.11229	0.3716952	156071508	KNTC1	kinetochore associated 1
ILMN_1795893	0.00452	4.16e-06	-5.001638	4.08585	-0.424255	52851428	TMEM167B	transmembrane protein 167B
ILMN_1739283	0.00452	4.26e-06	4.995557	4.06491	0.4735294	359751385	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)
ILMN_1800401	0.00452	4.55e-06	4.978076	4.00477	0.2075806	1007379436	ZNF69	zinc finger protein 69
ILMN_1674593	0.00452	5.17e-06	4.944413	3.88923	0.5197929	205830469	SIGLEC11	sialic acid binding Ig like lectin 11
ILMN_1682038	0.00452	5.18e-06	4.943883	3.88741	0.5154035	94400877	SNORA25	small nucleolar RNA, H/ACA box 25
ILMN_1674135	0.00452	5.35e-06	4.935133	3.85743	0.3320949	299758451	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
ILMN_1767459	0.00452	5.36e-06	4.93482	3.85636	0.3434157	238908502	POLR3B	RNA polymerase III subunit B
ILMN_1654289	0.00452	5.37e-06	-4.934128	3.85399	-0.2946908	380422414	ELK1	ELK1, ETS transcription factor
ILMN_1708064	0.00452	5.62e-06	4.922018	3.81255	0.2732617	197276596	MAP4	microtubule associated protein 4
ILMN_1711110	0.00452	5.92e-06	4.908604	3.76669	0.3320654	126722968	CENPT	centromere protein T
ILMN_1798826	0.00452	6.11e-06	4.899878	3.73689	0.2078129	1000814586	MRPS25	mitochondrial ribosomal protein S25
ILMN_1754130	0.00452	6.12e-06	4.899803	3.73663	0.2246398	34147443	TRIM52	tripartite motif containing 52
ILMN_1654875	0.00453	6.33e-06	-4.890708	3.7056	-2.2286292	357588508	CLC	Charcot-Leyden crystal galectin
ILMN_1687375	0.00473	6.83e-06	4.870628	3.63717	0.5156809	161377446	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1666742	0.00507	7.54e-06	-4.844115	3.54701	-0.8069056	754502068	C9orf72	chromosome 9 open reading frame 72
ILMN_1688755	0.0053	8.56e-06	4.810471	3.43293	0.5280447	NA		
ILMN_1670302	0.0053	8.74e-06	4.804852	3.41391	0.630996	194097329	HK3	hexokinase 3
ILMN_1733248	0.0053	8.77e-06	4.803767	3.41024	0.5472823	296179391	NRBP2	nuclear receptor binding protein 2
ILMN_1778956	0.0053	8.84e-06	4.801674	3.40316	0.239033	1002909133	STS	steroid sulfatase (microsomal), isozyme S
ILMN_1740385	0.00545	9.64e-06	4.778553	3.32504	0.3345533	115648141	CEP164	centrosomal protein 164
ILMN_1785268	0.00545	9.93e-06	-4.77064	3.29834	-0.5549238	221316611	CD58	CD58 molecule
ILMN_1684054	0.00545	1.01e-05	-4.766993	3.28605	-0.5102559	948284253	ASAH1	N-acylsphingosine amidohydrolase 1
ILMN_1783448	0.00545	1.01e-05	4.766707	3.28508	0.312288	38505264	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2
ILMN_1726054	0.00553	1.05e-05	4.756485	3.25064	0.1369024	22748710	TEX26	testis expressed 26
ILMN_1812557	0.00579	1.12e-05	4.737711	3.18747	0.5846132	NA		
ILMN_1756086	0.00649	1.29e-05	4.700876	3.06388	0.4340707	1026191070	INTS3	integrator complex subunit 3
ILMN_1659047	0.00659	1.38e-05	-4.682423	3.00214	-1.3260834	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1679614	0.00659	1.40e-05	4.677867	2.98692	0.3155001	686661114	SGSM3	small G protein signaling modulator 3
ILMN_1721106	0.00659	1.42e-05	4.674042	2.97414	0.4929933	557128970	C14orf159	chromosome 14 open reading frame 159
ILMN_1713993	0.00659	1.43e-05	-4.673113	2.97104	-0.3253886	221316643	UBAC2	UBA domain containing 2
ILMN_1803810	0.00666	1.48e-05	4.662092	2.93425	0.3836527	110611219	RRBP1	ribosome binding protein 1
ILMN_1727127	0.00666	1.50e-05	-4.659018	2.924	-0.2354615	193211601	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ILMN_1803036	0.00699	1.61e-05	4.640591	2.86261	0.4432909	110825987	TARBP1	TAR (HIV-1) RNA binding protein 1
ILMN_1732421	0.007	1.65e-05	4.632755	2.83655	0.2024714	NA		
ILMN_1656621	0.007	1.67e-05	-4.629895	2.82704	-0.5033813	571026644	CHMP2A	charged multivesicular body protein 2A
ILMN_1762508	0.00707	1.76e-05	-4.615442	2.77903	-0.7798334	754502068	C9orf72	chromosome 9 open reading frame 72
ILMN_1811522	0.00707	1.77e-05	4.61418	2.77484	0.6099916	153791312	SCO2	SCO2 cytochrome c oxidase assembly protein
ILMN_1689747	0.00707	1.84e-05	4.603955	2.74092	0.4234941	194294559	NOL8	nucleolar protein 8
ILMN_1677239	0.00707	1.86e-05	4.601089	2.73142	0.3598663	169646280	CCDC14	coiled-coil domain containing 14
ILMN_1754179	0.00707	1.90e-05	4.595193	2.71189	0.2914869	541862239	AP1G2	adaptor related protein complex 1 gamma 2 subunit
ILMN_1815012	0.00707	1.94e-05	4.589529	2.69314	0.3052085	536290286	EXOC7	exocyst complex component 7
ILMN_1737935	0.00707	1.94e-05	4.589062	2.69159	0.2441251	499591025	MACF1	microtubule-actin crosslinking factor 1
ILMN_1717552	0.00707	1.95e-05	4.588672	2.6903	0.5694234	374532773	MAN2C1	mannosidase alpha class 2C member 1
ILMN_1771139	0.00723	2.02e-05	4.578242	2.6558	0.332137	544186105	FBXO31	F-box protein 31
ILMN_1656066	0.00725	2.06e-05	4.573128	2.6389	0.4103652	209969834	TNPO2	transportin 2
ILMN_1684210	0.00749	2.16e-05	4.559902	2.59523	0.3924972	210032474	NIPAL3	NIPA like domain containing 3
ILMN_1735156	0.0078	2.29e-05	4.544607	2.54481	0.6379223	291490691	SLC4A11	solute carrier family 4 member 11
ILMN_1731014	0.0078	2.43e-05	4.527567	2.48874	0.2911121	961441444	HEMK1	HemK methyltransferase family member 1
ILMN_1810785	0.0078	2.44e-05	-4.526795	2.4862	-0.392107	156630999	RNF11	ring finger protein 11
ILMN_1794033	0.0078	2.44e-05	4.526477	2.48515	0.5532443	154937358	CRIPAK	cysteine rich PAK1 inhibitor
ILMN_1673023	0.0078	2.46e-05	4.524879	2.4799	0.2989592	331284124	EP400	E1A binding protein p400
ILMN_1724194	0.0078	2.46e-05	4.524426	2.47841	0.5084218	63003926	NPEPL1	aminopeptidase-like 1
ILMN_1805773	0.00782	2.50e-05	4.5197	2.46288	0.1435856	61835133	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)
ILMN_1796912	0.00785	2.57e-05	4.512351	2.43876	0.3674696	166064031	ARHGEF7	Rho guanine nucleotide exchange factor 7
ILMN_1651254	0.00785	2.59e-05	4.509754	2.43024	0.3694159	669033271	LPP	LIM domain containing preferred translocation partner in lipoma
ILMN_1769031	0.00785	2.62e-05	4.507079	2.42146	0.3097607	206725550	MTOR	mechanistic target of rapamycin
ILMN_1664921	0.00791	2.68e-05	-4.501267	2.4024	-0.240399	183603927	PPP6C	protein phosphatase 6 catalytic subunit
ILMN_1751615	0.00802	2.75e-05	-4.494106	2.37894	-0.3877876	1003088708	COQ10B	coenzyme Q10B
ILMN_1713031	0.0084	2.92e-05	-4.477631	2.32504	-0.3715881	525342445	CPQ	carboxypeptidase Q
ILMN_1711111	0.00847	2.98e-05	-4.47179	2.30595	-0.1158266	1001624532	SLC9C1	solute carrier family 9 member C1
