ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1690085	0.0058	5.24e-07	6.0948545	6.0016	0.60743778	806638627	STK11IP	serine/threonine kinase 11 interacting protein
ILMN_1669310	0.0058	7.19e-07	5.9918254	5.7201	0.73280247	358679345	RHOT2	ras homolog family member T2
ILMN_1810785	0.0058	1.02e-06	-5.8792347	5.4118	-0.48715996	156630999	RNF11	ring finger protein 11
ILMN_1666742	0.0058	1.05e-06	-5.8698	5.3859	-0.81355386	754502068	C9orf72	chromosome 9 open reading frame 72
ILMN_1763365	0.00831	1.99e-06	-5.6607311	4.8122	-0.29407503	359338972	FAM103A1	family with sequence similarity 103 member A1
ILMN_1761147	0.00831	2.25e-06	-5.6210076	4.703	-0.30910695	194473703	GABPB1	GA binding protein transcription factor beta subunit 1
ILMN_1695851	0.00888	3.07e-06	5.5195831	4.4242	0.53577208	469663641	PARVG	parvin gamma
ILMN_1727127	0.00888	3.63e-06	-5.4651733	4.2746	-0.2420538	193211601	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ILMN_1662306	0.00888	3.92e-06	-5.4399764	4.2054	-0.31238855	115529441	RABL3	RAB, member of RAS oncogene family like 3
ILMN_1803277	0.00888	4.00e-06	5.4333667	4.1872	0.35125084	312261256	MVP	major vault protein
ILMN_1813243	0.01153	5.81e-06	5.3119312	3.8534	0.22313729	NA		
ILMN_1666632	0.01153	7.09e-06	5.2470004	3.675	0.41116744	574584846	VPS52	VPS52, GARP complex subunit
ILMN_1679614	0.01153	7.21e-06	5.2413996	3.6596	0.35092697	686661114	SGSM3	small G protein signaling modulator 3
ILMN_1756086	0.01153	7.28e-06	5.2385911	3.6519	0.52368071	1026191070	INTS3	integrator complex subunit 3
ILMN_1709717	0.01329	8.99e-06	-5.1697303	3.4628	-0.41422538	288541296	LRRC15	leucine rich repeat containing 15
ILMN_1675583	0.01358	9.79e-06	5.1415866	3.3855	0.26025748	594140700	SPG7	SPG7, paraplegin matrix AAA peptidase subunit
ILMN_1688231	0.01383	1.11e-05	-5.10049	3.2728	-0.61676527	1017029557	TREM1	triggering receptor expressed on myeloid cells 1
ILMN_1717552	0.01383	1.28e-05	5.0549072	3.1478	0.68156624	374532773	MAN2C1	mannosidase alpha class 2C member 1
ILMN_1751615	0.01383	1.30e-05	-5.0490408	3.1318	-0.35968306	1003088708	COQ10B	coenzyme Q10B
ILMN_1804327	0.01383	1.30e-05	5.0478248	3.1284	0.32198701	56549646	NAP1L4	nucleosome assembly protein 1 like 4
ILMN_1814396	0.01383	1.32e-05	-5.0438031	3.1174	-0.32589062	320202965	MAGOH	mago homolog, exon junction complex core component
ILMN_1802603	0.01383	1.41e-05	5.0222378	3.0583	0.42732486	74271815	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ILMN_1785268	0.01383	1.43e-05	-5.0170105	3.044	-0.57145896	221316611	CD58	CD58 molecule
ILMN_1687375	0.01418	1.53e-05	4.9949331	2.9836	0.43179944	161377446	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1725906	0.01471	1.66e-05	4.9694666	2.9139	0.1999639	NA		
ILMN_1778673	0.01541	1.81e-05	-4.9412651	2.8368	-0.28248637	50541945	GOLGA7	golgin A7
ILMN_1811574	0.01547	1.88e-05	4.9277584	2.7999	0.65293538	974005408	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
ILMN_1735156	0.0155	1.96e-05	4.9150913	2.7652	0.72603799	291490691	SLC4A11	solute carrier family 4 member 11
ILMN_1671911	0.01619	2.16e-05	4.8831892	2.6781	0.30594609	115527079	MTA1	metastasis associated 1
ILMN_1730080	0.01619	2.20e-05	-4.8769203	2.661	-0.32839183	148728163	HTATIP2	HIV-1 Tat interactive protein 2
ILMN_1795893	0.01619	2.26e-05	-4.8673389	2.6348	-0.39327424	52851428	TMEM167B	transmembrane protein 167B
