ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1781700	0.000634	2.86e-08	-7.705302	8.893598	-1.1201901	538918731	IL18R1	interleukin 18 receptor 1
ILMN_1659189	0.000833	8.26e-08	-7.274144	7.927006	-1.1213281	966751386	CARD19	caspase recruitment domain family member 19
ILMN_1794612	0.000833	1.13e-07	7.149845	7.643258	0.7322784	38045947	UBA7	ubiquitin like modifier activating enzyme 7
ILMN_1741389	0.000863	2.07e-07	-6.908254	7.085483	-1.009004	42821106	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8
ILMN_1778523	0.000863	2.08e-07	-6.90753	7.083799	-0.7823565	59853224	KLF9	Kruppel like factor 9
ILMN_1772123	0.000863	2.33e-07	6.861168	6.975831	0.5904769	38679973	ACACA	acetyl-CoA carboxylase alpha
ILMN_1754061	0.001126	4.30e-07	6.622391	6.415231	0.6408356	39777587	NOL6	nucleolar protein 6
ILMN_1801584	0.001126	4.85e-07	-6.574877	6.302796	-1.7065246	56790928	CXCR4	C-X-C motif chemokine receptor 4
ILMN_1668743	0.001126	4.91e-07	-6.570484	6.292386	-1.2053215	NA		
ILMN_1693242	0.001126	5.08e-07	-6.557317	6.261172	-0.6578171	21687251	ZNF296	zinc finger protein 296
ILMN_1727041	0.001141	5.95e-07	6.495452	6.114218	0.447086	253970497	EWSR1	EWS RNA binding protein 1
ILMN_1671005	0.001141	7.74e-07	-6.393906	5.871993	-0.9807181	116734705	IRF2BP2	interferon regulatory factor 2 binding protein 2
ILMN_1803036	0.001141	8.28e-07	6.367781	5.809476	0.7239657	110825987	TARBP1	TAR (HIV-1) RNA binding protein 1
ILMN_1748124	0.001141	8.37e-07	-6.363907	5.800199	-0.8217731	62865622	TSC22D3	TSC22 domain family member 3
ILMN_1680996	0.001141	8.37e-07	6.363778	5.799891	0.8110964	1003701544	ALOX5	arachidonate 5-lipoxygenase
ILMN_1696133	0.001141	9.32e-07	6.322387	5.700659	0.3473431	1042076648	EPT1	ethanolaminephosphotransferase 1
ILMN_1782079	0.001141	9.45e-07	6.317132	5.688047	0.6316266	87116670	ZFP3	ZFP3 zinc finger protein
ILMN_1790228	0.001141	1.02e-06	-6.28738	5.61658	-0.8562863	577019576	FURIN	furin, paired basic amino acid cleaving enzyme
ILMN_1717477	0.001141	1.03e-06	6.282381	5.604563	0.7692288	117606358	PSD3	pleckstrin and Sec7 domain containing 3
ILMN_1699960	0.001141	1.09e-06	6.26379	5.559844	0.9595198	294459960	TRPV4	transient receptor potential cation channel subfamily V member 4
