ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1654875	0.0135	0.00000061	-6.0483057	5.5215	-2.38985601	357588508	CLC	Charcot-Leyden crystal galectin
ILMN_1739283	0.0437	0.00000394	5.4402888	3.9563	0.48461186	359751385	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)
ILMN_1685237	0.051	0.0000069	5.2578823	3.4842	0.4020288	NA		
ILMN_1713542	0.0523	0.00000951	5.1530218	3.2127	0.4181189	539847842	TRIM14	tripartite motif containing 14
ILMN_1727127	0.0523	0.0000186	-4.9334038	2.6447	-0.22938837	193211601	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ILMN_1764361	0.0523	0.00001961	-4.915968	2.5997	-0.52255851	295849296	DUSP16	dual specificity phosphatase 16
ILMN_1726054	0.0523	0.00001968	4.9148384	2.5967	0.14896673	22748710	TEX26	testis expressed 26
ILMN_1709204	0.0523	0.00002204	-4.8776722	2.5008	-0.95355893	148536834	CLEC4A	C-type lectin domain family 4 member A
ILMN_1666742	0.0523	0.00002296	-4.8641394	2.4659	-0.83870897	754502068	C9orf72	chromosome 9 open reading frame 72
ILMN_1671893	0.0523	0.00002359	-4.8552987	2.4431	-0.38552592	571026644	CHMP2A	charged multivesicular body protein 2A
ILMN_1801584	0.0861	0.00004791	-4.6213101	1.8411	-1.31008577	56790928	CXCR4	C-X-C motif chemokine receptor 4
ILMN_1767459	0.0861	0.00004982	4.6083368	1.8078	0.33401088	238908502	POLR3B	RNA polymerase III subunit B
ILMN_1762508	0.0861	0.00005048	-4.6039105	1.7965	-0.81740841	754502068	C9orf72	chromosome 9 open reading frame 72
ILMN_1738362	0.0927	0.00006305	4.530039	1.6074	0.14711582	525459425	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase
ILMN_1707493	0.0927	0.00006504	4.5196906	1.581	0.27668774	263191158	RCC1	regulator of chromosome condensation 1
ILMN_1815264	0.0927	0.00006762	4.5067175	1.5478	0.41920279	1043916016	RHBDD3	rhomboid domain containing 3
ILMN_1813386	0.0927	0.00007101	4.4904247	1.5063	0.65659949	255982619	CORO6	coronin 6
ILMN_1735038	0.0955	0.00008111	-4.4460337	1.3931	-0.45353782	471434843	MARCH3	membrane associated ring-CH-type finger 3
ILMN_1711745	0.0955	0.00008176	4.443359	1.3863	0.31687543	44890060	PPIB	peptidylprolyl isomerase B
ILMN_1798624	0.0968	0.00008724	4.4216705	1.331	0.16328567	NA		
ILMN_1733930	0.1078	0.00010839	4.3489041	1.1462	0.27665323	41349447	PREB	prolactin regulatory element binding
ILMN_1666932	0.1078	0.00010889	-4.347379	1.1423	-0.48187544	210031809	FCGR2A	Fc fragment of IgG receptor IIa
ILMN_1795893	0.1078	0.0001155	-4.3275845	1.0922	-0.39017946	52851428	TMEM167B	transmembrane protein 167B
ILMN_1651942	0.1078	0.00011668	4.3241662	1.0835	0.46950604	566559974	CDC25B	cell division cycle 25B
ILMN_1684054	0.1094	0.00012849	-4.2917115	1.0014	-0.52912503	948284253	ASAH1	N-acylsphingosine amidohydrolase 1
ILMN_1711792	0.1094	0.00012899	-4.2903955	0.9981	-0.54583272	291327498	GPBP1	GC-rich promoter binding protein 1
ILMN_1755974	0.1094	0.00013848	-4.2664643	0.9376	-0.67040095	68303552	ALDOC	aldolase, fructose-bisphosphate C
ILMN_1697793	0.1094	0.00014379	4.2537802	0.9056	0.4476553	157388992	SYNJ2BP	synaptojanin 2 binding protein
ILMN_1706523	0.1094	0.00014565	-4.2494285	0.8946	-0.5939783	NA		
ILMN_1659047	0.1094	0.00015281	-4.2332241	0.8537	-1.36879231	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1781819	0.1094	0.00015287	4.2331025	0.8534	0.32043835	46094057	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
ILMN_1713031	0.1136	0.00016996	-4.1972412	0.7632	-0.37750634	525342445	CPQ	carboxypeptidase Q
ILMN_1708064	0.1136	0.00017013	4.1969073	0.7623	0.28827235	197276596	MAP4	microtubule associated protein 4
ILMN_1781285	0.1136	0.00017686	-4.1837672	0.7293	-0.41549234	259013538	DUSP1	dual specificity phosphatase 1
ILMN_1674593	0.1136	0.00017915	4.179402	0.7183	0.49295711	205830469	SIGLEC11	sialic acid binding Ig like lectin 11
ILMN_1727041	0.119	0.0001931	4.1539577	0.6545	0.25485598	253970497	EWSR1	EWS RNA binding protein 1
ILMN_1689007	0.1204	0.00020087	4.1405537	0.6209	0.42491153	1012443717	SUGP2	SURP and G-patch domain containing 2
ILMN_1721106	0.1206	0.00021366	4.1195688	0.5683	0.43310989	557128970	C14orf159	chromosome 14 open reading frame 159
ILMN_1775743	0.1206	0.00022043	-4.1089574	0.5418	-0.52547901	209447059	BTG1	BTG anti-proliferation factor 1
ILMN_1762972	0.1206	0.0002206	4.1086854	0.5411	0.34581718	95147341	CHD9	chromodomain helicase DNA binding protein 9
ILMN_1753502	0.1206	0.00023235	4.0909986	0.4969	0.16143758	62865873	IGSF11	immunoglobulin superfamily member 11
ILMN_1658261	0.1206	0.00024658	4.0707212	0.4463	0.24389495	190684670	MAPKBP1	mitogen-activated protein kinase binding protein 1
ILMN_1687375	0.1206	0.00024831	4.0683331	0.4403	0.43971698	161377446	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1772489	0.1206	0.00024911	4.0672422	0.4376	0.33788442	1042705568	NEMF	nuclear export mediator factor
ILMN_1674050	0.1206	0.00025537	4.0587671	0.4165	0.4272312	661567383	COL8A2	collagen type VIII alpha 2 chain
ILMN_1688755	0.1206	0.00025697	4.0566215	0.4111	0.51908357	NA		
ILMN_1815392	0.1206	0.00025839	4.0547478	0.4065	0.38168593	226507776	ACTRT1	actin related protein T1
ILMN_1729684	0.1206	0.0002619	4.0501343	0.395	0.32180557	161016771	CDK9	cyclin dependent kinase 9
ILMN_1771815	0.1206	0.00026649	-4.0441964	0.3802	-0.30918899	545687803	RTFDC1	replication termination factor 2 domain containing 1
ILMN_1693004	0.1213	0.00028139	4.0255726	0.3339	0.39335253	66773343	SOGA1	suppressor of glucose, autophagy associated 1
ILMN_1754130	0.1213	0.00028358	4.0229124	0.3273	0.22172773	34147443	TRIM52	tripartite motif containing 52
ILMN_1697211	0.1213	0.00028426	-4.0220935	0.3252	-0.10200295	995970192	UBA5	ubiquitin like modifier activating enzyme 5
ILMN_1659786	0.1254	0.00029953	4.004164	0.2807	0.33682665	226493202	TRMT13	tRNA methyltransferase 13 homolog
ILMN_1728803	0.126	0.00031268	3.9894093	0.2441	0.18483627	392996996	HMP19	HMP19 protein
ILMN_1689560	0.126	0.00031566	-3.9861537	0.236	-0.21612334	NA		
ILMN_1691480	0.126	0.00031794	3.9836796	0.2299	0.22054881	665821201	LONP2	lon peptidase 2, peroxisomal
ILMN_1804384	0.1282	0.00032934	-3.9715777	0.1999	-0.32431791	291045179	ASMTL	acetylserotonin O-methyltransferase-like
ILMN_1703906	0.1286	0.00033617	3.9645238	0.1825	0.15381384	545479117	HJURP	Holliday junction recognition protein
ILMN_1815445	0.131	0.00034851	-3.9521137	0.1518	-0.31756563	262118208	IDS	iduronate 2-sulfatase
ILMN_1684614	0.1331	0.0003599	3.9410366	0.1244	0.10484923	188528649	TNXB	tenascin XB
ILMN_1668752	0.1332	0.00036622	3.935032	0.1096	0.24762591	NA		
ILMN_1783889	0.1356	0.00037893	3.9232713	0.0806	0.25279867	94557300	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
ILMN_1690085	0.1377	0.00039884	3.9055885	0.037	0.4013095	806638627	STK11IP	serine/threonine kinase 11 interacting protein
ILMN_1807925	0.1377	0.00042239	-3.8857443	-0.0118	-0.29200374	344313193	GNG2	G protein subunit gamma 2
ILMN_1795429	0.1377	0.00042402	-3.8844133	-0.0151	-0.38203313	50593530	VCL	vinculin
ILMN_1768980	0.1377	0.00042473	-3.8838325	-0.0165	-0.55230129	520262190	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
ILMN_1744109	0.1377	0.00042557	3.8831532	-0.0182	0.25673845	52627212	OR2A1	olfactory receptor family 2 subfamily A member 1
ILMN_1726783	0.1377	0.00043145	3.8784015	-0.0299	0.26692732	558516018	RNASEH1	ribonuclease H1
ILMN_1718558	0.1377	0.00043955	3.8719573	-0.0457	0.36460192	733214993	PARP12	poly(ADP-ribose) polymerase family member 12
ILMN_1679495	0.1377	0.00044626	3.8667107	-0.0586	0.20676198	656214623	ULK3	unc-51 like kinase 3
ILMN_1765520	0.1377	0.00044628	3.8666933	-0.0586	0.38926865	53729336	MTIF2	mitochondrial translational initiation factor 2
ILMN_1801313	0.1377	0.0004469	-3.8662085	-0.0598	-0.2788328	55925659	SIAH2	siah E3 ubiquitin protein ligase 2
ILMN_1714418	0.1381	0.00046082	-3.8555734	-0.0859	-0.64582746	116256467	FAM101B	family with sequence similarity 101 member B
ILMN_1698728	0.1381	0.00047866	-3.8423876	-0.1182	-0.4792092	751247054	FGD4	FYVE, RhoGEF and PH domain containing 4
ILMN_1732516	0.1381	0.00048001	3.8414145	-0.1206	0.32297552	156071508	KNTC1	kinetochore associated 1
ILMN_1681067	0.1381	0.00048392	-3.8385967	-0.1275	-0.48215287	217330621	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5
ILMN_1709124	0.1381	0.00048946	3.8346412	-0.1372	0.2302193	229576807	ANO8	anoctamin 8
ILMN_1680085	0.1381	0.00049252	3.8324746	-0.1425	0.45882599	332205879	TP53I3	tumor protein p53 inducible protein 3
ILMN_1656621	0.1381	0.00049533	-3.830496	-0.1473	-0.48728434	571026644	CHMP2A	charged multivesicular body protein 2A
ILMN_1800463	0.1381	0.00049811	3.8285495	-0.1521	0.25490271	301129205	UCKL1	uridine-cytidine kinase 1 like 1
ILMN_1792494	0.1414	0.00051615	3.8161737	-0.1823	0.13785825	40354199	TPX2	TPX2, microtubule nucleation factor
