GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100507500	3.12e-18	3.80e-22	0.799	9.676276	7.733051	108.75	EGFR-AS1	EGFR antisense RNA 1
51013	2.39e-15	5.84e-19	0.877	-8.895087	-7.796575	143.26	EXOSC1	exosome component 1
64853	2.75e-14	1.01e-17	0.91	-8.573336	-7.803569	75.42	AIDA	axin interactor, dorsalization associated
22826	1.13e-13	5.50e-17	0.977	-8.375493	-8.181191	158.95	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
7419	3.09e-13	1.89e-16	0.981	-8.229095	-8.06868	90.91	VDAC3	voltage dependent anion channel 3
387111	4.34e-12	3.18e-15	0.805	7.88374	6.348559	269.36	LINC00222	long intergenic non-protein coding RNA 222
8565	5.48e-12	4.68e-15	0.88	-7.835334	-6.894136	39.91	YARS1	tyrosyl-tRNA synthetase 1
107984328	6.93e-12	7.33e-15	0.691	7.778739	5.377427	122.56	LOC107984328	uncharacterized LOC107984328
23568	6.93e-12	7.61e-15	1.044	-7.773863	-8.117616	96.08	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
56943	1.96e-11	2.39e-14	0.905	-7.627426	-6.905192	33.26	ENY2	ENY2 transcription and export complex 2 subunit
51635	2.64e-11	3.54e-14	0.874	-7.576768	-6.625032	33.4	DHRS7	dehydrogenase/reductase 7
55334	5.40e-11	7.90e-14	1.086	-7.47193	-8.112664	84.75	SLC39A9	solute carrier family 39 member 9
10564	7.44e-11	1.18e-13	0.941	-7.419015	-6.981379	38.41	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2
23173	9.42e-11	1.61e-13	1.088	-7.377909	-8.023797	73.65	METAP1	methionyl aminopeptidase 1
4791	9.82e-11	1.92e-13	1.036	-7.354497	-7.621577	85.95	NFKB2	nuclear factor kappa B subunit 2
1152	9.82e-11	1.87e-13	1.11	-7.357591	-8.1671	120.93	CKB	creatine kinase B
169841	1.07e-10	2.22e-13	0.63	7.335066	4.620344	124.84	ZNF169	zinc finger protein 169
7546	1.13e-10	2.48e-13	0.781	7.32024	5.714078	59.43	ZIC2	Zic family member 2
11051	1.20e-10	2.79e-13	1.101	-7.304092	-8.041694	116.18	NUDT21	nudix hydrolase 21
266740	1.65e-10	4.03e-13	0.81	7.254531	5.876818	311.23	MAGEA2B	MAGE family member A2B
115362	2.18e-10	5.58e-13	1.193	-7.210465	-8.601687	110.74	GBP5	guanylate binding protein 5
389692	2.60e-10	6.97e-13	0.726	7.180052	5.209709	195.84	MAFA	MAF bZIP transcription factor A
6433	3.36e-10	9.42e-13	0.96	-7.138706	-6.849639	39.47	SFSWAP	splicing factor SWAP
8273	3.56e-10	1.04e-12	1.099	-7.12476	-7.830033	93.01	SLC10A3	solute carrier family 10 member 3
8065	4.40e-10	1.34e-12	0.995	-7.089933	-7.055528	44.97	CUL5	cullin 5
8662	4.83e-10	1.57e-12	1.111	-7.068045	-7.850516	65.43	EIF3B	eukaryotic translation initiation factor 3 subunit B
4040	4.83e-10	1.59e-12	0.679	7.066259	4.800195	993.33	LRP6	LDL receptor related protein 6
10274	5.64e-10	1.93e-12	0.923	-7.039764	-6.494539	31.07	STAG1	stromal antigen 1
100310812	7.66e-10	2.71e-12	0.651	6.992034	4.548398	160.06	SPDYE2B	speedy/RINGO cell cycle regulator family member E2B
8812	7.86e-10	2.87e-12	1.016	-6.983711	-7.095166	59.65	CCNK	cyclin K
134288	7.99e-10	3.02e-12	0.862	6.976781	6.015416	82.66	TMEM174	transmembrane protein 174
25977	1.08e-09	4.21e-12	1.166	-6.929995	-8.077068	76.82	NECAP1	NECAP endocytosis associated 1
4354	1.40e-09	5.62e-12	1.216	-6.888945	-8.376585	94.86	MPP1	MAGUK p55 scaffold protein 1
8660	1.44e-09	5.98e-12	0.994	-6.880027	-6.838196	49.75	IRS2	insulin receptor substrate 2
54534	1.49e-09	6.36e-12	1.183	-6.87127	-8.12693	79.65	MRPL50	mitochondrial ribosomal protein L50
51170	2.51e-09	1.10e-11	1.131	-6.792208	-7.682929	71.71	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
100287478	3.34e-09	1.51e-11	0.756	6.746969	5.098979	370.4	USP17L21	ubiquitin specific peptidase 17 like family member 21
6631	3.65e-09	1.69e-11	1.058	-6.730583	-7.121367	39.29	SNRPC	small nuclear ribonucleoprotein polypeptide C
2799	3.67e-09	1.75e-11	1.075	-6.725884	-7.228561	51.94	GNS	glucosamine (N-acetyl)-6-sulfatase
100287364	3.87e-09	1.93e-11	0.766	6.710905	5.138658	361.95	USP17L18	ubiquitin specific peptidase 17 like family member 18
100287441	3.87e-09	1.91e-11	0.769	6.712887	5.161928	375.9	USP17L20	ubiquitin specific peptidase 17 like family member 20
391622	4.11e-09	2.10e-11	0.767	6.698571	5.141107	360.04	USP17L6P	ubiquitin specific peptidase 17 like family member 6, pseudogene
100287513	4.49e-09	2.36e-11	0.758	6.682017	5.061668	376.13	USP17L22	ubiquitin specific peptidase 17 like family member 22
5201	6.05e-09	3.25e-11	0.997	-6.634883	-6.61282	27.46	PFDN1	prefoldin subunit 1
100287205	7.83e-09	4.30e-11	0.774	6.59334	5.102232	387.48	USP17L12	ubiquitin specific peptidase 17 like family member 12
11103	9.09e-09	5.10e-11	1.14	-6.567901	-7.486247	80.29	KRR1	KRR1 small subunit processome component homolog
