GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100507500	1.58e-09	2.08e-13	1.15	7.343584	8.442871	118.64	EGFR-AS1	EGFR antisense RNA 1
126638	3.54e-09	9.29e-13	0.781	7.140651	5.574627	32372.35	RPTN	repetin
387111	9.51e-09	3.75e-12	1.129	6.946474	7.841127	291.48	LINC00222	long intergenic non-protein coding RNA 222
25977	1.94e-07	1.02e-10	1.325	-6.464042	-8.561626	46.3	NECAP1	NECAP endocytosis associated 1
266740	3.08e-07	2.02e-10	1.069	6.359701	6.801075	335.81	MAGEA2B	MAGE family member A2B
22826	5.86e-07	5.39e-10	1.296	-6.207436	-8.043017	63.71	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
83696	5.86e-07	4.92e-10	1.289	-6.221551	-8.017361	31.7	TRAPPC9	trafficking protein particle complex subunit 9
282775	6.23e-07	6.54e-10	0.953	6.17688	5.886888	4716.8	OR5J2	olfactory receptor family 5 subfamily J member 2
441452	1.14e-06	1.34e-09	0.915	6.062149	5.549436	10560.4	SPATA31C1	SPATA31 subfamily C member 1
134288	1.23e-06	1.61e-09	1.216	6.032774	7.336175	87.58	TMEM174	transmembrane protein 174
23568	1.34e-06	1.93e-09	1.415	-6.003733	-8.493663	54.75	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
23317	1.91e-06	3.01e-09	1.348	-5.930833	-7.994515	31.3	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13
4040	4.54e-06	7.75e-09	0.884	5.77378	5.102081	1053.28	LRP6	LDL receptor related protein 6
100505483	6.04e-06	1.11e-08	1.068	5.712914	6.101285	118.21	PRKAG2-AS1	PRKAG2 antisense RNA 1
51013	6.42e-06	1.26e-08	1.399	-5.69077	-7.961711	77.46	EXOSC1	exosome component 1
6637	6.66e-06	1.40e-08	1.282	-5.673573	-7.27455	18.94	SNRPG	small nuclear ribonucleoprotein polypeptide G
5393	6.97e-06	1.67e-08	1.271	-5.643199	-7.171108	17.62	EXOSC9	exosome component 9
9069	6.97e-06	1.59e-08	1.316	-5.651371	-7.438662	67.78	CLDN12	claudin 12
28958	6.97e-06	1.74e-08	1.329	-5.636165	-7.488721	43.12	COA3	cytochrome c oxidase assembly factor 3
154743	7.50e-06	1.99e-08	1.313	-5.613069	-7.37111	20.3	BMT2	base methyltransferase of 25S rRNA 2 homolog
191	7.50e-06	2.07e-08	1.247	-5.606143	-6.992545	15.54	AHCY	adenosylhomocysteinase
7570	7.59e-06	2.19e-08	1.131	5.596118	6.329205	46.61	ZNF22	zinc finger protein 22
10007	8.16e-06	2.46e-08	1.301	-5.575742	-7.252568	18.68	GNPDA1	glucosamine-6-phosphate deaminase 1
6433	9.61e-06	3.28e-08	1.213	-5.525723	-6.701261	15.68	SFSWAP	splicing factor SWAP
5636	9.61e-06	3.24e-08	1.277	-5.528028	-7.06126	24.04	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2
10564	9.61e-06	3.13e-08	1.225	-5.533757	-6.779512	14.53	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2
51315	1.08e-05	3.83e-08	1.117	-5.498477	-6.139491	12.39	KRCC1	lysine rich coiled-coil 1
54467	1.30e-05	4.79e-08	1.322	-5.459021	-7.215251	22.68	ANKIB1	ankyrin repeat and IBR domain containing 1
2800	1.77e-05	6.74e-08	1.365	-5.3981	-7.370629	32.07	GOLGA1	golgin A1
389692	2.21e-05	8.99e-08	1.034	5.346034	5.530189	209.52	MAFA	MAF bZIP transcription factor A
79176	2.21e-05	8.78e-08	1.268	-5.350283	-6.782712	13.46	FBXL15	F-box and leucine rich repeat protein 15
