GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100507500	3.10e-12	6.65e-16	0.905	8.0767748	7.3097836	113.53	EGFR-AS1	EGFR antisense RNA 1
8565	1.18e-10	5.07e-14	0.967	-7.5300686	-7.2814386	32.38	YARS1	tyrosyl-tRNA synthetase 1
107984328	5.61e-09	3.60e-12	0.781	6.951885	5.4286471	133.61	LOC107984328	uncharacterized LOC107984328
387111	5.86e-09	5.59e-12	0.837	6.8897913	5.7663659	279.62	LINC00222	long intergenic non-protein coding RNA 222
7546	5.86e-09	6.28e-12	0.816	6.8731165	5.609822	59.72	ZIC2	Zic family member 2
100310812	4.22e-07	6.21e-10	0.744	6.1849766	4.6040099	169.04	SPDYE2B	speedy/RINGO cell cycle regulator family member E2B
4791	4.22e-07	6.33e-10	1.081	-6.1818998	-6.6833466	27.43	NFKB2	nuclear factor kappa B subunit 2
266740	9.56e-07	1.64e-09	0.902	6.0301683	5.4384195	326.15	MAGEA2B	MAGE family member A2B
134288	1.24e-06	2.66e-09	0.898	5.9515998	5.3418664	77.98	TMEM174	transmembrane protein 174
389692	1.24e-06	2.48e-09	0.822	5.9628038	4.901094	195.55	MAFA	MAF bZIP transcription factor A
728373	1.36e-06	3.53e-09	0.832	5.9046148	4.9139742	377.84	USP17L25	ubiquitin specific peptidase 17 like family member 25
728379	1.36e-06	4.03e-09	0.84	5.8828896	4.9416517	384.76	USP17L26	ubiquitin specific peptidase 17 like family member 26
728393	1.36e-06	3.58e-09	0.833	5.9025267	4.9185858	377.5	USP17L27	ubiquitin specific peptidase 17 like family member 27
728419	1.36e-06	4.07e-09	0.836	5.8813535	4.9174359	378.2	USP17L30	ubiquitin specific peptidase 17 like family member 30
728369	1.59e-06	5.45e-09	0.841	5.832762	4.9047255	381.2	USP17L24	ubiquitin specific peptidase 17 like family member 24
728386	1.59e-06	5.43e-09	0.841	5.8333707	4.9047677	387.52	USP17L5	ubiquitin specific peptidase 17 like family member 5
728405	1.68e-06	6.13e-09	0.843	5.8130617	4.8983432	384.75	USP17L29	ubiquitin specific peptidase 17 like family member 29
169841	1.98e-06	7.64e-09	0.761	5.776131	4.3927712	121.91	ZNF169	zinc finger protein 169
441273	2.45e-06	9.97e-09	0.75	5.7312782	4.2965014	65.06	SPDYE2	speedy/RINGO cell cycle regulator family member E2
2203	2.54e-06	1.09e-08	1.225	-5.7163075	-7.0050676	49.79	FBP1	fructose-bisphosphatase 1
728400	2.74e-06	1.23e-08	0.862	5.6948486	4.9099243	371.75	USP17L28	ubiquitin specific peptidase 17 like family member 28
441294	3.29e-06	1.55e-08	0.857	5.6557018	4.8487641	321.27	CTAGE15	CTAGE family member 15
285676	3.58e-06	1.76e-08	0.783	5.633656	4.4110723	170.77	ZNF454	zinc finger protein 454
4040	7.34e-06	3.77e-08	0.814	5.501187	4.4787372	1046.52	LRP6	LDL receptor related protein 6
6451	9.34e-06	5.00e-08	1.232	-5.4511454	-6.7135802	112.51	SH3BGRL	SH3 domain binding glutamate rich protein like
26539	1.48e-05	8.23e-08	0.901	5.3621033	4.8331402	455.3	OR10H1	olfactory receptor family 10 subfamily H member 1
100287178	1.49e-05	8.97e-08	0.841	5.346504	4.4969917	1670.29	USP17L11	ubiquitin specific peptidase 17 like family member 11
391627	1.49e-05	8.76e-08	0.841	5.3507284	4.5011811	1650.36	USP17L9P	ubiquitin specific peptidase 17 like family member 9, pseudogene
340307	1.61e-05	1.00e-07	0.895	5.3267891	4.7695738	320.42	CTAGE6	CTAGE family member 6
